Gattung;Zugnummer;Hängt an Zugnummer$Flügelrichtung (v = nach vorne, h = nach hinten, ohne Angabe = kein Flügeln);Herkunft;Startbetriebsstelle;aus Richtung;Fahrtziel;Zielbetriebsstelle;Gleis;an;ab;min. Aufenthalt;rangiert um;weiter als;Vereinigt sich mit Zugnummern ($-getrennt);Kann das Gleis mit Zügen teilen (Zugnummern durch $ getrennt)
RE;4890;;Braunschweig Hbf;von Lehrte;O;Braunschweig Hbf;nach Lehrte;Gleis 12;00:00;00:12;5;;RE 4891;;
RE;14036;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;00:07;00:19;2;;;;
RE;4400;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 11;00:09;00:21;2;;;;
ICE;102;;Basel SBB;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;00:14;00:26;2;;;;
S3;34338;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;00:19;00:35;5;;S3 34301;;
RE;4439;;Norddeich Mole;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;00:35;00:45;2;;;;
CNL;40447;447$v;Amsterdam Centraal;von Wunstorf;W;Koebenhavn H;nach Langenhagen;Gleis 9;01:41;02:36;5;02:10;;472;472$40456
EN;447;;Amsterdam Centraal;von Wunstorf;W;Warszawa Wschodnia;nach Lehrte;Gleis 10;01:41;02:40;2;;;;50472$50473
CNL;457;447;Amsterdam Centraal;von Wunstorf;W;Praha hl.n.;nach Lehrte;Gleis 10;01:41;02:40;2;;;;
CNL;472;;Basel SBB;von Alfeld;O;Koebenhavn H;nach Langenhagen;Gleis 9;01:58;02:36;2;;;;40447$40456
D;50472;472$h;Basel SBB;von Alfeld;O;Moskva Belorusskaja;nach Lehrte;Gleis 10;01:58;02:40;5;02:15;;447;447$50473
CNL;50473;473$h;Koebenhavn H;von Langenhagen;W;Praha hl.n.;nach Lehrte;Gleis 10;02:09;02:40;5;02:20;;447;447$50472
CNL;473;;Koebenhavn H;von Langenhagen;W;Basel SBB;nach Alfeld;Gleis 7;02:09;02:51;2;;;;40446
CNL;40473;473$v;Koebenhavn H;von Langenhagen;W;Amsterdam Centraal;nach Wunstorf;Gleis 8;02:09;03:02;5;02:25;;446;446
CNL;40456;446$v;Praha hl.n.;von Lehrte;O;Koebenhavn H;nach Langenhagen;Gleis 9;02:11;02:36;5;02:22;;472;472$40447
D;40446;446$h;Moskva Belorusskaja;von Lehrte;O;Basel SBB;nach Alfeld;Gleis 7;02:11;02:51;5;02:23;;473;473
EN;446;;Warszawa Wschodnia;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 8;02:11;03:02;2;;;;40473
CNL;456;446;Praha hl.n.;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 8;02:11;03:02;2;;;;
IC;2178;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Hamburg-Altona;nach Langenhagen;Gleis 8;04:37;04:58;2;;;;
RE;4893;;Minden(Westf);von Wunstorf;W;Helmstedt;nach Lehrte;Gleis 10;04:42;04:48;2;;;;
S7;34009;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 13;04:49;05:04;5;;S7 34010;;
IC;2233;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Leipzig Hbf;nach Alfeld;Gleis 4;04:54;05:07;5;;;;
RE;4840;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;05:00;05:09;2;;;;
ICE;649;;Hannover-Hainholz;von Langenhagen;W;Berlin Ostbahnhof;nach Lehrte;Gleis 10;05:06;05:27;2;;;;
RE;4402;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich Mole;nach Wunstorf;Gleis 12;05:09;05:21;2;;;;
ME;82811;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 7;05:10;05:36;2;;;;
ICE;591;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;05:13;05:20;2;;;;
S3;34300;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;05:19;05:34;5;;S3 34303;;34600
CNL;1286;;München Ost;von Lehrte;O;Hamburg-Altona;nach Wunstorf;Gleis 9;05:20;05:30;2;;;;
ICE;103;;Hannover-Hainholz;von Langenhagen;W;Basel SBB;nach Wunstorf;Gleis 11;05:21;05:40;5;;;;
ME;82812;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;05:21;05:40;2;;;;
S6;34600;;Hannover-Hainholz;von Langenhagen;W;Celle;nach Lehrte;Gleis 14;05:26;05:41;2;;;;34300
RE;4401;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;05:34;05:45;2;;;;
RE;14061;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 3;05:34;05:46;5;;;;
RE;14001;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;05:35;05:46;2;;;;
IC;2184;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Ostseebad Binz;nach Langenhagen;Gleis 8;05:41;05:55;2;;;;
RE;4871;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 11;05:46;05:55;2;;;;
RE;14038;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;05:46;05:58;2;;;;
IC;2275;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Stuttgart Hbf;nach SFS;Gleis 7;05:47;06:01;5;;;;
S7;34011;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;05:49;06:04;5;;S7 34012;;
RE;4872;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 12;06:00;06:09;2;;;;
RE;14060;;Goslar;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;06:04;06:16;5;;;;
RE;4404;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;06:05;06:17;2;;;;
RE;14000;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;06:07;06:19;2;;;;
EN;490;;Wien Westbahnhof;von Alfeld;O;Hamburg-Altona;nach Langenhagen;Gleis 7;06:08;06:16;2;;;;
ME;82813;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;06:10;06:36;2;;;;
S6;34601;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;06:10;06:41;5;;S6 34602;;
ICE;841;;Bremen Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;06:11;06:31;2;;;;
ICE;646;;Berlin Ostbahnhof;von Lehrte;O;Köln/Bonn Flughafen;nach Wunstorf;Gleis 11;06:13;06:21;2;;;;
ICE;656;646;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;06:13;06:21;2;;;;
ICE;581;;Hamburg Hbf;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;06:17;06:26;2;;;;
ME;82814;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;06:18;06:40;2;;;;
S3;34302;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 13;06:19;06:34;5;;S3 34305;;
IC;2447;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Leipzig Hbf;nach Lehrte;Gleis 10;06:19;06:36;5;;;;
IC;2436;;Magdeburg Hbf;von Lehrte;O;Oldenburg(Oldb);nach Wunstorf;Gleis 12;06:21;06:45;2;;;;
CNL;478;455$v;Zürich HB;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;06:25;06:35;2;;;;
IC;242;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Amsterdam Centraal;nach Wunstorf;Gleis 11;06:25;06:40;2;;;;
CNL;455;;Paris Est;von SFS;O;Berlin Südkreuz;nach Lehrte;Gleis 8;06:25;06:40;5;;;;
ICE;571;;Hamburg-Altona;von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 4;06:34;06:41;2;;;;
RE;4403;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;06:34;06:45;2;;;;
RE;14003;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;06:35;06:46;2;;;;
RE;14841;;Minden(Westf);von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 3;06:39;06:50;2;;;;
RE;14852;;Braunschweig Hbf;von Lehrte;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;06:39;06:51;5;;;;
RE;3603;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 7;06:40;06:51;2;;;;
IC;2186;;Hannover-Hainholz;von Langenhagen;W;Hamburg-Altona;nach Langenhagen;Gleis 8;06:43;07:00;5;;;;2176
RE;4841;;Osnabrück Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;06:46;06:55;2;;;;
RE;14040;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 12;06:46;06:58;2;;;;
S7;34013;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;06:49;07:04;5;;S7 34014;;
IC;2176;;Göttingen;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;06:50;07:04;5;;;;2186
IC;2179;;Hamburg-Altona;von Langenhagen;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 3;06:53;07:05;2;;;;
RE;4842;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;07:00;07:09;2;;;;
RE;14062;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 4;07:02;07:14;5;;;;
RE;14091;;Nienburg(Weser);von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;07:04;07:15;2;;;;
RE;14002;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;07:07;07:19;2;;;;
RE;4406;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich Mole;nach Wunstorf;Gleis 11;07:09;07:21;2;;;;
ICE;1743;;Oldenburg(Oldb);von Wunstorf;W;Dresden Hbf;nach Lehrte;Gleis 10;07:10;07:36;2;;;;
ME;82815;;Uelzen;von Langenhagen;W;Uelzen;nach Langenhagen;Gleis 8;07:10;07:40;5;;ME 82816;;82866$82865
S6;34603;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;07:10;07:41;5;;S6 34604;;
IC;2241;;Münster(Westf)Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;07:14;07:21;2;;;;
ICE;1097;;Hamburg-Altona;von Langenhagen;W;Darmstadt Hbf;nach SFS;Gleis 3;07:15;07:22;2;;;;
ME;82866;;Göttingen;von Alfeld;O;Göttingen;nach Alfeld;Gleis 8;07:18;07:36;5;;ME 82865;;82815$82816
IC;2013;;Magdeburg Hbf;von Lehrte;O;Oberstdorf;nach Wunstorf;Gleis 12;07:18;07:40;2;;;;
ICE;783;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;07:19;07:26;2;;;;
S3;34304;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;07:19;07:34;5;;S3 34307;;34603
ICE;946;;Berlin Ostbahnhof;von Lehrte;O;Düsseldorf Hbf;nach Wunstorf;Gleis 11;07:23;07:31;2;;;;
ICE;956;946;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;07:23;07:31;2;;;;
ICE;541;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;07:24;07:31;2;;;;
ICE;988;;Frankfurt(Main)Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;07:27;07:36;2;;;;
ICE;636;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 11;07:31;07:45;2;;;;
RE;14854;;Braunschweig Hbf;von Lehrte;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 13;07:33;07:45;5;;;;
ICE;71;;Hamburg-Altona;von Langenhagen;W;Basel SBB;nach SFS;Gleis 4;07:34;07:41;2;;;;
RE;4405;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;07:34;07:45;2;;;;
RE;14005;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 12;07:35;07:46;2;;;;
RE;14063;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 3;07:36;07:48;5;;;;
RE;14843;;Minden(Westf);von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;07:39;07:50;2;;;;
RE;3600;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 8;07:42;07:54;2;;;;
RE;4873;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;07:46;07:55;2;;;;
RE;14042;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;07:49;08:01;2;;;;
S7;34015;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;07:49;08:04;5;;S7 34016;;
IC;2182;;Kassel-Wilhelmshöhe;von Alfeld;O;Stralsund Hbf;nach Langenhagen;Gleis 4;07:51;07:59;2;;;;
IC;2277;;Hamburg-Altona;von Langenhagen;W;Frankfurt(Main)Hbf;nach SFS;Gleis 3;07:54;08:01;2;;;;
RE;4874;;Helmstedt;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 12;08:00;08:09;2;;;;
RE;14093;;Nienburg(Weser);von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;08:04;08:15;2;;;;
RE;14078;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;08:05;08:17;5;;;;
RE;14004;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;08:07;08:19;2;;;;
RE;4408;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;08:09;08:21;2;;;;
ICE;533;;Oldenburg(Oldb);von Wunstorf;W;München Hbf;nach SFS;Gleis 4;08:10;08:26;2;;;583;583
ME;82817;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;08:10;08:33;2;;;;
S6;34605;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;08:10;08:41;5;;S6 34606;;
ICE;672;;Wiesbaden Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;08:12;08:20;2;;;;
IC;2445;;Köln Hbf;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;08:14;08:36;2;;;;
IC;2434;;Leipzig Hbf;von Lehrte;O;Emden Außenhafen;nach Wunstorf;Gleis 11;08:18;08:45;2;;;;
ICE;583;;Hamburg-Altona;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;08:19;08:26;2;;;533;533
S3;34306;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;08:19;08:34;5;;S3 34309;;34605
ME;82818;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;08:19;08:40;2;;;;
ICE;644;;Berlin Ostbahnhof;von Lehrte;O;Köln/Bonn Flughafen;nach Wunstorf;Gleis 12;08:23;08:31;2;;;;
ICE;654;644;Berlin Ostbahnhof;von Lehrte;O;Bonn Hbf;nach Wunstorf;Gleis 12;08:23;08:31;2;;;;
ICE;843;853;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;08:24;08:31;2;;;;
ICE;853;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;08:24;08:31;2;;;;
ICE;888;;Nürnberg Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;08:27;08:36;2;;;;
IC;240;;Berlin Ostbahnhof;von Lehrte;O;Amsterdam Centraal;nach Wunstorf;Gleis 12;08:32;08:40;2;;;;
ICE;973;;Kiel Hbf;von Langenhagen;W;Stuttgart Hbf;nach SFS;Gleis 4;08:34;08:41;2;;;;
RE;4407;;Emden Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;08:34;08:45;2;;;;
RE;14007;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;08:35;08:46;2;;;;
RE;14845;;Minden(Westf);von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 10;08:39;08:50;2;;;;
RE;14856;;Braunschweig Hbf;von Lehrte;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 12;08:40;08:52;5;;;;
RE;3605;;Hannover-Hainholz;von Langenhagen;W;Halle(Saale)Hbf;nach Alfeld;Gleis 7;08:44;08:55;2;;;;
RE;4843;;Rheine;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 9;08:46;08:55;2;;;;
S7;34017;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;08:49;09:04;5;;S7 34018;;
IC;2083;;Hamburg-Altona;von Langenhagen;W;Berchtesgaden Hbf;nach SFS;Gleis 3;08:56;09:03;2;;;;
IC;2085;2083;Hamburg-Altona;von Langenhagen;W;Oberstdorf;nach SFS;Gleis 3;08:56;09:03;2;;;;
RE;4844;;Braunschweig Hbf;von Lehrte;O;Rheine;nach Wunstorf;Gleis 12;09:00;09:09;2;;;;
RE;3604;;Halle(Saale)Hbf;von Alfeld;O;Hannover-Hainholz;nach Langenhagen;Gleis 8;09:01;09:13;2;;;;
RE;14006;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;09:07;09:19;2;;;;
RE;4410;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Norddeich Mole;nach Wunstorf;Gleis 12;09:09;09:21;2;;;;
IC;2035;;Oldenburg(Oldb);von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;09:10;09:36;2;;;;
ME;82821;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 4;09:10;09:36;2;;;;
S6;34607;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;09:10;09:41;5;;S6 34608;;
ICE;774;;Stuttgart Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 7;09:12;09:20;2;;;;
IC;2243;;Bad Bentheim;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;09:14;09:21;2;;;;
ICE;91;;Hamburg-Altona;von Langenhagen;W;Wien Westbahnhof;nach SFS;Gleis 3;09:17;09:26;2;;;;
IC;2044;;Leipzig Hbf;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 11;09:18;09:40;2;;;;
S3;34308;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;09:19;09:34;5;;S3 34311;;34607
ME;82820;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 7;09:21;09:40;2;;;;
ICE;944;;Berlin Ostbahnhof;von Lehrte;O;Düsseldorf Hbf;nach Wunstorf;Gleis 12;09:23;09:31;2;;;;
ICE;954;944;Berlin Ostbahnhof;von Lehrte;O;Köln Hbf;nach Wunstorf;Gleis 12;09:23;09:31;2;;;;
ICE;543;553;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;09:24;09:31;2;;;;
ICE;553;;Koblenz Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;09:24;09:31;2;;;;
ICE;684;;München Hbf;von SFS;O;Hamburg-Altona;nach Langenhagen;Gleis 8;09:27;09:36;2;;;;
ICE;634;684$h;München Hbf;von SFS;O;Bremen Hbf;nach Wunstorf;Gleis 8;09:27;09:45;2;;;;
ICE;73;;Kiel Hbf;von Langenhagen;W;Zürich HB;nach SFS;Gleis 3;09:34;09:41;2;;;;
RE;4409;;Bremen Hbf;von Wunstorf;W;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 9;09:34;09:45;2;;;;
RE;14009;;Hannover-Hainholz;von Langenhagen;W;Wolfsburg Hbf;nach Lehrte;Gleis 13;09:35;09:46;2;;;;
RE;14065;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bad Harzburg;nach Alfeld;Gleis 7;09:36;09:48;5;;;;
EN;452;;Moskva Belorusskaja;von Langenhagen;W;Paris Est;nach SFS;Gleis 4;09:40;09:51;2;;;;
RE;4875;;Bielefeld Hbf;von Wunstorf;W;Braunschweig Hbf;nach Lehrte;Gleis 10;09:46;09:55;2;;;;
S7;34019;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;09:49;10:04;5;;S7 34020;;
IC;2388;;Frankfurt(Main)Hbf;von SFS;O;Berlin Südkreuz;nach Lehrte;Gleis 9;09:51;10:05;5;;;;
IC;2279;;Stralsund Hbf;von Langenhagen;W;Konstanz;nach SFS;Gleis 3;09:54;10:01;2;;;;
RE;4876;;Braunschweig Hbf;von Lehrte;O;Bielefeld Hbf;nach Wunstorf;Gleis 12;10:00;10:09;2;;;;
RE;14064;;Bad Harzburg;von Alfeld;O;Rangierbahnhof Pferdeturm;Pferdeturm;Gleis 8;10:05;10:17;5;;;;
RE;14008;;Wolfsburg Hbf;von Lehrte;O;Hannover-Hainholz;nach Langenhagen;Gleis 13;10:07;10:19;2;;;;
RE;4412;;Rangierbahnhof Pferdeturm;Pferdeturm;O;Bremen Hbf;nach Wunstorf;Gleis 12;10:09;10:21;2;;;;
ICE;535;;Bremen Hbf;von Wunstorf;W;München Hbf;nach SFS;Gleis 4;10:10;10:26;2;;;585;585
ME;82823;;Uelzen;von Langenhagen;W;Göttingen;nach Alfeld;Gleis 3;10:10;10:33;2;;;;
S6;34609;;Celle;von Lehrte;O;Celle;nach Lehrte;Gleis 14;10:10;10:41;5;;S6 34610;;
ICE;674;;Karlsruhe Hbf;von SFS;O;Kiel Hbf;nach Langenhagen;Gleis 7;10:12;10:20;2;;;;
IC;2443;;Köln Hbf;von Wunstorf;W;Leipzig Hbf;nach Lehrte;Gleis 10;10:14;10:36;2;;;;
ICE;585;;Lübeck Hbf;von Langenhagen;W;München Hbf;nach SFS;Gleis 4;10:17;10:26;2;;;535;535
ME;82822;;Göttingen;von Alfeld;O;Uelzen;nach Langenhagen;Gleis 8;10:18;10:40;2;;;;
IC;2432;;Cottbus;von Lehrte;O;Norddeich Mole;nach Wunstorf;Gleis 11;10:18;10:45;2;;;;
S3;34310;;Hildesheim Hbf;von Lehrte;O;Hildesheim Hbf;nach Lehrte;Gleis 14;10:19;10:34;5;;S3 34313;;34609
ICE;642;;Berlin Ostbahnhof;von Lehrte;O;Düsseldorf Hbf;nach Wunstorf;Gleis 12;10:23;10:31;2;;;;
ICE;652;642;Berlin Ostbahnhof;von Lehrte;O;Bonn Hbf;nach Wunstorf;Gleis 12;10:23;10:31;2;;;;
ICE;845;855;Köln/Bonn Flughafen;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;10:24;10:31;2;;;;
ICE;855;;Köln Hbf;von Wunstorf;W;Berlin Ostbahnhof;nach Lehrte;Gleis 9;10:24;10:31;2;;;;
